player,tm,zone,stat,value,shots,percent,FGA
Te'a Cooper,LAS,left,FGM,1,made,16.7,6
Teaira Mccowan,IND,left,FGM,0,made,0,0
Theresa Plaisance,CON,left,FGM,0,made,0,0
Tianna Hawkins,WAS,left,FGM,0,made,0,1
Tierra Ruffin-Pratt,LAS,left,FGM,0,made,0,0
Tiffany Mitchell,IND,left,FGM,2,made,40,5
Tyasha Harris,DAL,left,FGM,1,made,33.3,3
Victoria Vivians,IND,left,FGM,1,made,50,2
A'ja Wilson,LVA,right,FGM,0,made,0,0
Aerial Powers,WAS,right,FGM,0,made,0,1
Alaina Coates,WAS,right,FGM,0,made,0,0
Alanna Smith,PHO,right,FGM,0,made,0,0
Alexis Jones,ATL,right,FGM,0,made,0,0
Alexis Prince,CHI,right,FGM,NA,made,NA,NA
Alisia Jenkins,PHO,right,FGM,0,made,0,0
Allie Quigley,CHI,right,FGM,1,made,100,1
Allisha Gray,DAL,right,FGM,1,made,50,2
Alysha Clark,SEA,right,FGM,0,made,0,0
Alyssa Thomas,CON,right,FGM,0,made,0,0
Amanda Zahui B,NYL,right,FGM,0,made,0,0
Angel Mccoughtry,LVA,right,FGM,0,made,0,0
Ariel Atkins,WAS,right,FGM,0,made,0,0
Arike Ogunbowale,DAL,right,FGM,0,made,0,1
Astou Ndour,DAL,right,FGM,0,made,0,0
Avery Warley-Talbert,LVA,right,FGM,NA,made,NA,NA
Azur¡ Stevens,CHI,right,FGM,1,made,50,2
Beatrice Mompremier,CON,right,FGM,0,made,0,0
Bella Alarie,DAL,right,FGM,0,made,0,0
Betnijah Laney,ATL,right,FGM,1,made,50,2
Blake Dietrick,ATL,right,FGM,0,made,0,0
Breanna Stewart,SEA,right,FGM,0,made,0,0
Bria Hartley,PHO,right,FGM,0,made,0,0
Bria Holmes,CON,right,FGM,0,made,0,0
Briann January,CON,right,FGM,0,made,0,0
Brianna Turner,PHO,right,FGM,0,made,0,0
Bridget Carleton,MIN,right,FGM,0,made,0,1
Brionna Jones,CON,right,FGM,0,made,0,0
Brittany Brewer,ATL,right,FGM,0,made,0,0
Brittney Griner,PHO,right,FGM,0,made,0,0
Brittney Sykes,LAS,right,FGM,1,made,33.3,3
Candace Parker,LAS,right,FGM,0,made,0,0
Candice Dupree,IND,right,FGM,0,made,0,0
Carolyn Swords,LVA,right,FGM,0,made,0,0
Chelsea Gray,LAS,right,FGM,1,made,100,1
Chennedy Carter,ATL,right,FGM,1,made,100,1
Cheyenne Parker,CHI,right,FGM,0,made,0,0
Cierra Burdick,LVA,right,FGM,0,made,0,0
Courtney Vandersloot,CHI,right,FGM,1,made,100,1
Courtney Williams,ATL,right,FGM,0,made,0,0
Crystal Dangerfield,MIN,right,FGM,1,made,50,2
Crystal Langhorne,SEA,right,FGM,0,made,0,0
Damiris Dantas,MIN,right,FGM,0,made,0,0
Danielle Robinson,LVA,right,FGM,0,made,0,0
Dewanna Bonner,CON,right,FGM,0,made,0,1
Dearica Hamby,LVA,right,FGM,0,made,0,0
Diamond Deshields,CHI,right,FGM,0,made,0,2
Diana Taurasi,PHO,right,FGM,0,made,0,1
Elizabeth Williams,ATL,right,FGM,0,made,0,0
Emma Cannon,LVA,right,FGM,NA,made,NA,NA
Emma Meesseman,WAS,right,FGM,0,made,0,0
Epiphanny Prince,SEA,right,FGM,0,made,0,0
Erica Mccall,MIN,right,FGM,0,made,0,0
Essence Carson,CON,right,FGM,0,made,0,1
Ezi Magbegor,SEA,right,FGM,0,made,0,0
Gabby Williams,CHI,right,FGM,0,made,0,2
Glory Johnson,ATL,right,FGM,0,made,0,0
Isabelle Harrison,DAL,right,FGM,0,made,0,0
Jacki Gemelos,WAS,right,FGM,0,made,0,1
Jackie Young,LVA,right,FGM,0,made,0,0
Jasmine Thomas,CON,right,FGM,1,made,100,1
Jaylyn Agnew,ATL,right,FGM,0,made,0,0
Jazmine Jones,NYL,right,FGM,0,made,0,1
Jewell Loyd,SEA,right,FGM,0,made,0,1
Jocelyn Willoughby,NYL,right,FGM,0,made,0,0
Jordin Canada,SEA,right,FGM,0,made,0,0
Joyner Holmes,NYL,right,FGM,1,made,100,1
Julie Allemand,IND,right,FGM,0,made,0,0
Kaela Davis,ATL,right,FGM,NA,made,NA,NA
Kahleah Copper,CHI,right,FGM,1,made,100,1
Kaila Charles,CON,right,FGM,1,made,50,2
Kalani Brown,ATL,right,FGM,0,made,0,0
Kaleena Mosqueda-Lewis,CON,right,FGM,1,made,100,1
Kamiah Smalls,IND,right,FGM,0,made,0,0
Karima Christmas-Kelly,MIN,right,FGM,0,made,0,0
Kathleen Doyle,IND,right,FGM,0,made,0,0
Katie Lou Samuelson,DAL,right,FGM,0,made,0,0
Kayla Alexander,MIN,right,FGM,0,made,0,0
Kayla Mcbride,LVA,right,FGM,0,made,0,0
Kayla Thornton,DAL,right,FGM,2,made,100,2
Kelsey Mitchell,IND,right,FGM,0,made,0,0
Kennedy Burke,IND,right,FGM,0,made,0,0
Kia Nurse,NYL,right,FGM,0,made,0,0
Kia Vaughn,PHO,right,FGM,0,made,0,0
Kiah Stokes,NYL,right,FGM,0,made,0,3
Kiara Leslie,WAS,right,FGM,0,made,0,0
Kristine Anigwe,LAS,right,FGM,0,made,0,0
Kylee Shook,NYL,right,FGM,0,made,0,0
Lauren Cox,IND,right,FGM,0,made,0,0
Layshia Clarendon,NYL,right,FGM,0,made,0,1
Leaonna Odom,NYL,right,FGM,1,made,50,2
Leilani Mitchell,WAS,right,FGM,2,made,66.7,3
Lexie Brown,MIN,right,FGM,0,made,0,0
Lindsay Allen,LVA,right,FGM,0,made,0,0
Marie G‹Lich,LAS,right,FGM,0,made,0,0
Marina Mabrey,DAL,right,FGM,0,made,0,0
Megan Gustafson,DAL,right,FGM,0,made,0,0
Megan Huff,LVA,right,FGM,0,made,0,0
Megan Walker,NYL,right,FGM,0,made,0,0
Mercedes Russell,SEA,right,FGM,0,made,0,0
Mikiah Herbert Harrigan,MIN,right,FGM,0,made,0,1
Monique Billings,ATL,right,FGM,0,made,0,0
Morgan Tuck,SEA,right,FGM,0,made,0,1
